vessel_name,normalized_vessel_name,imo,mmsi,call_sign,operator,owner,manager,vessel_type,gt,dwt,flag,loa,beam,verified,notes,updated_at
MINERAL HOPE,MINERALHOPE,,,ONKD,,,,Bulk Carrier,91971,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
MARCEL,MARCEL,,,V7B3347,,,,Bulk Carrier,44102,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
BERGE DOI INTHANON,BERGEDOIINTHANON,,,HOYL,,,,Bulk Carrier,36177,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
BEI HAI FENG HUANG,BEIHAIFENGHUANG,,,BOCT5,,,,Crude Tanker,43551,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
CF DIAMOND,CFDIAMOND,,,V7JH8,,,,Bulk Carrier,32378,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
VITUS BERING,VITUSBERING,,,8PSO2,,,,Bulk Carrier,66291,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
PAN PEGASUS,PANPEGASUS,,,5LML3,,,,Bulk Carrier,43958,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
ERSOZ WEST,ERSOZWEST,,,V7KU4,,,,Bulk Carrier,36332,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
에이치엘 오셔닉,에이치엘오셔닉,,,V7A4617,,,,Bulk Carrier,97574,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
ORION TRADER,ORIONTRADER,,,DYTK,,,,Bulk Carrier,35908,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
FIONAN,FIONAN,,,3E6928,,,,Bulk Carrier,62272,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
스키야토스,스키야토스,,,V7A3508,,,,Bulk Carrier,109299,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
HL PORT HEDLAND,HLPORTHEDLAND,,,5LYO4,,,,Bulk Carrier,93461,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
KOBAYASHI MARU,KOBAYASHIMARU,,,V7A2046,,,,Bulk Carrier,34552,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
CHANG HANG HU PO,CHANGHANGHUPO,,,BUQZ,,,,Tanker,31530,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
WASHINGTON,WASHINGTON,,,KLBO,,,,Crude Tanker,62318,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
CONDOR,CONDOR,,,9VEQ7,,,,Tanker,12085,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
SAKURA CRESCENT,SAKURACRESCENT,,,7KSY,,,,Bulk Carrier,54281,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
GENCO STARS AND STRIPES,GENCOSTARSANDSTRIPES,,,V7B2724,,,,Bulk Carrier,107879,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
ONE TREASURE,ONETREASURE,,,3EUO7,,,,Container Ship,210691,,,,,true,derived_from_last_successful_port_operation_snapshot,2026-06-12T14:52:16.185Z
